u,v,length,link_flow
4393,4423,612.7977763205269,260
4393,9052,1066.4846532943966,260
4423,4471,662.1959670657886,760
4438,4439,462.0972608008144,0
4438,4474,411.5472060925527,0
4439,4448,283.04994985107373,0
4440,4497,1500.5641761265365,120
4448,4423,392.1221756222692,100
4448,4496,693.016782274206,60
4464,4438,1004.4727876181648,0
4464,4502,673.1003812544795,0
4471,4440,1850.9335523336672,120
4471,4493,407.4714252350142,740
4474,4448,461.9967534175804,40
4474,4582,341.8788127014028,40
4487,4464,447.19013159597,0
4487,4520,665.132312984774,0
4493,4521,385.6683180949226,420
4496,4471,509.1569740232221,160
4496,4539,661.7505155889708,280
4497,4415,1302.6683374368972,0
4501,4487,306.17177494608427,0
4501,4530,649.9008358217516,0
4502,4474,755.2303944064906,20
4502,4534,383.5024098564545,20
4518,4496,523.8137769709413,40
4518,4565,572.4991821996535,160
4520,4502,446.87390898545294,40
4521,4605,658.4437566720777,520
4525,9050,1450.4203537544206,0
4525,9171,4493.376543230135,0
4526,4497,889.0404488916341,60
4526,9001,507.3058395512944,80
4526,9014,2505.174385392017,0
4530,4520,245.5078666420985,20
4530,4607,845.6975557319017,0
4534,4556,415.8811437932901,20
4534,4582,672.382716095679,0
4536,4497,889.4636169091755,40
4536,4562,1242.8937584824166,0
4539,4521,447.5862092665581,280
4539,4616,558.881879459985,680
4554,4526,674.0519479469681,80
4554,4536,1065.7322374830103,20
4556,4518,582.758627172772,0
4556,4608,466.0891216839914,20
4562,4493,1061.732346533605,700
4562,4589,523.4868027880057,500
4563,4554,510.3866173591647,140
4563,4642,545.1331419051829,100
4563,9001,576.4482643123958,100
4565,4539,477.95966858695033,240
4565,4603,228.2139126775599,100
4573,4609,1072.2717633282648,0
4573,9050,778.1545125689499,0
4582,4518,394.2392434755304,40
4589,4605,277.05391365207385,900
4603,4630,277.42136682103694,100
4605,4616,263.5074430965818,980
4605,4671,634.3492420215382,700
4607,4556,574.6165725720911,0
4607,4639,359.40115264508245,40
4608,4565,519.8454195675481,80
4608,4624,195.8691275706348,100
4609,4530,685.1977874244945,20
4609,4645,818.1976087259886,580
4609,9011,448.5827868690292,0
4615,4563,839.6152204100852,100
4615,4579,389.8344122751198,100
4616,4630,361.0584941598685,700
4624,4603,501.3638275229202,140
4630,4650,481.4449162652865,320
4630,4680,527.4675649069753,760
4634,4554,628.0083796651329,240
4634,4664,591.4797984866985,780
4635,4536,774.3176803394447,20
4635,4664,686.7660217940124,1260
4639,4608,553.130790267761,40
4639,4655,243.09548095087067,20
4642,4634,493.7805105608798,440
4645,4607,490.49631972872487,60
4645,4666,284.99275113615573,700
4649,4639,274.0929544608755,0
4649,4674,334.96694768272545,0
4650,4624,283.3008417295929,220
4650,4690,502.6005955129843,300
4651,4562,1026.8804951693671,880
4651,4635,465.7495314291237,1660
4655,4624,535.1432439221253,40
4655,4690,366.3055986314589,80
4660,4589,720.1109516893538,660
4662,4651,192.3128747780512,2100
4663,4615,669.9025225726317,120
4663,4642,527.9478964494751,240
4664,4724,315.91598646326,540
4666,4649,211.4726346858361,0
4666,4713,351.3688712534487,700
4668,9011,326.3515322797726,0
4669,4718,389.6827992695562,0
4669,9008,452.0763929315051,0
4671,4660,627.0378451521501,1520
4671,4819,559.8161921437527,1980
4674,4655,265.8845384868481,60
4674,4742,409.9014275923896,0
4680,4671,414.0463643499582,1800
4680,4855,721.2527753813785,120
4689,4660,285.0648651317556,1940
4689,4662,480.5193711341456,1920
4690,4742,220.75642977547128,220
4694,4662,260.6576744845596,440
4694,4689,304.8323482526497,2200
4697,4651,330.6975235352718,1640
4697,4694,275.5135379236511,2240
4706,4697,410.204103200792,1800
4708,4650,505.3571172263657,480
4708,4680,392.7569641043453,640
4713,4674,203.5898806113499,0
4713,4794,461.7016592723072,840
4718,9002,1052.1397174741587,120
4718,9003,371.48273676029225,0
4718,9006,468.3900677971322,120
4724,4706,686.7227024990051,1280
4732,4634,659.357645884317,620
4732,4724,519.486415924749,1420
4742,4794,193.24476554785784,220
4745,4663,501.477675119816,280
4745,4732,572.645147065635,1140
4758,4745,589.7528185331706,860
4758,4832,290.8327739024115,520
4779,4758,523.2464643358023,160
4779,4852,340.4221226904592,160
4779,8364,445.40730332271687,140
4794,4899,458.7327062958352,140
4794,9173,459.1610623048838,1120
4802,4645,860.1179176351808,120
4802,8350,611.6372757788072,80
4806,4697,379.5278486678646,2440
4806,4808,350.83709160291755,2680
4808,4694,410.2633739780719,2120
4819,4689,840.0468482348944,1920
4819,4879,273.7709237230706,2480
4832,4918,365.3602156494312,200
4835,4706,504.1597750862202,660
4835,4806,475.5196208078,2060
4852,4832,547.1778020573736,200
4852,4942,366.2579664324931,280
4854,4835,403.2309133563738,1780
4854,4961,477.0313369921743,920
4855,4819,340.7530629095053,1700
4863,4724,580.109277408248,1040
4863,4854,373.2766833910729,1800
4879,4893,785.4141559521263,1160
4879,4938,281.4492660054522,1940
4881,4732,565.027031242925,920
4881,4863,426.9056795567118,920
4893,4808,397.3355283594154,3040
4893,4927,507.34164428571466,2460
4895,4802,415.69699401274096,60
4895,4972,1069.2245333530925,100
4899,4972,356.12614195726525,120
4904,4863,137.4189686289528,740
4907,4893,97.4272885457802,3680
4907,5010,535.3689557658973,640
4917,5005,476.26682769905455,0
4918,4917,522.291965304049,80
4918,5017,460.8628876980165,20
4920,4855,415.9994899623242,1780
4927,4806,563.5751962502583,3080
4927,4944,335.2083684613009,2900
4929,4779,2109.8414836400057,140
4929,4891,2061.692775628396,0
4930,4943,766.7259996538108,0
4930,9167,2096.7566391091163,0
